"Entry.name" "Gene.names"
"1" "1433B_HUMAN" "YWHAB"
"2" "1433E_HUMAN" "YWHAE"
"3" "1433F_HUMAN" "YWHAH YWHA1"
"4" "1433G_HUMAN" "YWHAG"
"5" "1433S_HUMAN" "SFN HME1"
"6" "1433T_HUMAN" "YWHAQ"
"7" "1433Z_HUMAN" "YWHAZ"
"8" "1A01_HUMAN" "HLA-A HLAA"
"9" "1A02_HUMAN" "HLA-A HLAA"
"10" "1A03_HUMAN" "HLA-A HLAA"
"11" "1A11_HUMAN" "HLA-A HLAA"
"12" "1A1L1_HUMAN" "ACCS PHACS"
"13" "1A1L2_HUMAN" "ACCSL"
"14" "1A23_HUMAN" "HLA-A HLAA"
"15" "1A24_HUMAN" "HLA-A HLAA"
"16" "1A25_HUMAN" "HLA-A HLAA"
"17" "1A26_HUMAN" "HLA-A HLAA"
"18" "1A29_HUMAN" "HLA-A HLAA"
"19" "1A30_HUMAN" "HLA-A HLAA"
"20" "1A31_HUMAN" "HLA-A HLAA"
"21" "1A32_HUMAN" "HLA-A HLAA"
"22" "1A33_HUMAN" "HLA-A HLAA"
"23" "1A34_HUMAN" "HLA-A HLAA"
"24" "1A36_HUMAN" "HLA-A HLAA"
"25" "1A43_HUMAN" "HLA-A HLAA"
"26" "1A66_HUMAN" "HLA-A HLAA"
"27" "1A68_HUMAN" "HLA-A HLAA"
"28" "1A69_HUMAN" "HLA-A HLAA"
"29" "1A74_HUMAN" "HLA-A HLAA"
"30" "1A80_HUMAN" "HLA-A HLAA"
"31" "1B07_HUMAN" "HLA-B HLAB"
"32" "1B08_HUMAN" "HLA-B HLAB"
"33" "1B13_HUMAN" "HLA-B HLAB"
"34" "1B14_HUMAN" "HLA-B HLAB"
"35" "1B15_HUMAN" "HLA-B HLAB"
"36" "1B18_HUMAN" "HLA-B HLAB"
"37" "1B27_HUMAN" "HLA-B HLAB"
"38" "1B35_HUMAN" "HLA-B HLAB"
"39" "1B37_HUMAN" "HLA-B HLAB"
"40" "1B38_HUMAN" "HLA-B HLAB"
"41" "1B39_HUMAN" "HLA-B HLAB"
"42" "1B40_HUMAN" "HLA-B HLAB"
"43" "1B41_HUMAN" "HLA-B HLAB"
"44" "1B42_HUMAN" "HLA-B HLAB"
"45" "1B44_HUMAN" "HLA-B HLAB"
"46" "1B45_HUMAN" "HLA-B HLAB"
"47" "1B46_HUMAN" "HLA-B HLAB"
"48" "1B47_HUMAN" "HLA-B HLAB"
"49" "1B48_HUMAN" "HLA-B HLAB"
"50" "1B49_HUMAN" "HLA-B HLAB"
"51" "1B50_HUMAN" "HLA-B HLAB"
"52" "1B51_HUMAN" "HLA-B HLAB"
"53" "1B52_HUMAN" "HLA-B HLAB"
"54" "1B53_HUMAN" "HLA-B HLAB"
"55" "1B54_HUMAN" "HLA-B HLAB"
"56" "1B55_HUMAN" "HLA-B HLAB CDABP0067"
"57" "1B56_HUMAN" "HLA-B HLAB"
"58" "1B57_HUMAN" "HLA-B HLAB"
"59" "1B58_HUMAN" "HLA-B HLAB"
"60" "1B59_HUMAN" "HLA-B HLAB"
"61" "1B67_HUMAN" "HLA-B HLAB"
"62" "1B73_HUMAN" "HLA-B HLAB"
"63" "1B78_HUMAN" "HLA-B HLAB"
"64" "1B81_HUMAN" "HLA-B HLAB"
"65" "1B82_HUMAN" "HLA-B HLAB"
"66" "1C01_HUMAN" "HLA-C HLAC"
"67" "1C02_HUMAN" "HLA-C HLAC"
"68" "1C03_HUMAN" "HLA-C HLAC"
"69" "1C04_HUMAN" "HLA-C HLAC"
"70" "1C05_HUMAN" "HLA-C HLAC"
"71" "1C06_HUMAN" "HLA-C HLAC"
"72" "1C07_HUMAN" "HLA-C HLAC"
"73" "1C08_HUMAN" "HLA-C HLAC"
"74" "1C12_HUMAN" "HLA-C HLAC"
"75" "1C14_HUMAN" "HLA-C HLAC"
"76" "1C15_HUMAN" "HLA-C HLAC"
"77" "1C16_HUMAN" "HLA-C HLAC"
"78" "1C17_HUMAN" "HLA-C D6S204 HLA-JY3 HLAC"
"79" "1C18_HUMAN" "HLA-C HLAC"
"80" "2A5A_HUMAN" "PPP2R5A"
"81" "2A5B_HUMAN" "PPP2R5B"
"82" "2A5D_HUMAN" "PPP2R5D"
"83" "2A5E_HUMAN" "PPP2R5E"
"84" "2A5G_HUMAN" "PPP2R5C KIAA0044"
"85" "2AAA_HUMAN" "PPP2R1A"
"86" "2AAB_HUMAN" "PPP2R1B"
"87" "2ABA_HUMAN" "PPP2R2A"
"88" "2ABB_HUMAN" "PPP2R2B"
"89" "2ABD_HUMAN" "PPP2R2D KIAA1541"
"90" "2ABG_HUMAN" "PPP2R2C"
"91" "2B11_HUMAN" "HLA-DRB1"
"92" "2B13_HUMAN" "HLA-DRB1"
"93" "2B14_HUMAN" "HLA-DRB1"
"94" "2B17_HUMAN" "HLA-DRB1"
"95" "2B18_HUMAN" "HLA-DRB1"
"96" "2B19_HUMAN" "HLA-DRB1"
"97" "2B1A_HUMAN" "HLA-DRB1"
"98" "2B1B_HUMAN" "HLA-DRB1"
"99" "2B1C_HUMAN" "HLA-DRB1"
"100" "2B1D_HUMAN" "HLA-DRB1"
"101" "2B1E_HUMAN" "HLA-DRB1"
"102" "2B1F_HUMAN" "HLA-DRB1 HLA-DRB2"
"103" "2B1G_HUMAN" "HLA-DRB1"
"104" "3BHS1_HUMAN" "HSD3B1 3BH HSDB3A"
"105" "3BHS2_HUMAN" "HSD3B2 HSDB3B"
"106" "3BHS7_HUMAN" "HSD3B7"
"107" "3BP1_HUMAN" "SH3BP1"
"108" "3BP2_HUMAN" "SH3BP2 3BP2 RES4-23"
"109" "3BP5L_HUMAN" "SH3BP5L KIAA1720 UNQ2766/PRO7133"
"110" "3BP5_HUMAN" "SH3BP5 SAB"
"111" "3HAO_HUMAN" "HAAO"
"112" "3HIDH_HUMAN" "HIBADH"
"113" "3MG_HUMAN" "MPG AAG ANPG MID1"
"114" "41_HUMAN" "EPB41 E41P"
"115" "4EBP1_HUMAN" "EIF4EBP1"
"116" "4EBP2_HUMAN" "EIF4EBP2"
"117" "4EBP3_HUMAN" "EIF4EBP3"
"118" "4ET_HUMAN" "EIF4ENIF1"
"119" "4F2_HUMAN" "SLC3A2 MDU1"
"120" "5HT1A_HUMAN" "HTR1A ADRB2RL1 ADRBRL1"
"121" "5HT1B_HUMAN" "HTR1B HTR1DB"
"122" "5HT1D_HUMAN" "HTR1D HTR1DA HTRL"
"123" "5HT1E_HUMAN" "HTR1E"
"124" "5HT1F_HUMAN" "HTR1F HTR1EL"
"125" "5HT2A_HUMAN" "HTR2A HTR2"
"126" "5HT2B_HUMAN" "HTR2B"
"127" "5HT2C_HUMAN" "HTR2C HTR1C"
"128" "5HT3A_HUMAN" "HTR3A 5HT3R HTR3"
"129" "5HT3B_HUMAN" "HTR3B"
"130" "5HT3C_HUMAN" "HTR3C"
"131" "5HT3D_HUMAN" "HTR3D"
"132" "5HT3E_HUMAN" "HTR3E"
"133" "5HT4R_HUMAN" "HTR4"
"134" "5HT5A_HUMAN" "HTR5A"
"135" "5HT6R_HUMAN" "HTR6"
"136" "5HT7R_HUMAN" "HTR7"
"137" "5NT1A_HUMAN" "NT5C1A"
"138" "5NT1B_HUMAN" "NT5C1B AIRP FKSG85"
"139" "5NT3L_HUMAN" "NT5C3L"
"140" "5NT3_HUMAN" "NT5C3 P5N1 UMPH1 HSPC233"
"141" "5NTC_HUMAN" "NT5C2 NT5B NT5CP PNT5"
"142" "5NTD_HUMAN" "NT5E NT5 NTE"
"143" "68MP_HUMAN" "MP68 C14orf2 PRO1574"
"144" "6PGD_HUMAN" "PGD PGDH"
"145" "6PGL_HUMAN" "PGLS"
"146" "7B2_HUMAN" "SCG5 SGNE1"
"147" "8ODP_HUMAN" "NUDT1 MTH1"
"148" "A14EL_HUMAN" "ARL14EPL"
"149" "A16A1_HUMAN" "ALDH16A1"
"150" "A16L1_HUMAN" "ATG16L1 APG16L UNQ9393/PRO34307"
"151" "A16L2_HUMAN" "ATG16L2 WDR80"
"152" "A1AG1_HUMAN" "ORM1 AGP1"
"153" "A1AG2_HUMAN" "ORM2 AGP2"
"154" "A1ATR_HUMAN" "SERPINA2P ARGS ATR PIL SERPINA2"
"155" "A1AT_HUMAN" "SERPINA1 AAT PI PRO0684 PRO2209"
"156" "A1BG_HUMAN" "A1BG"
"157" "A1CF_HUMAN" "A1CF ACF ASP"
"158" "A20A1_HUMAN" "ANKRD20A1 ANKRD20A"
"159" "A20A2_HUMAN" "ANKRD20A2"
"160" "A20A3_HUMAN" "ANKRD20A3"
"161" "A20A4_HUMAN" "ANKRD20A4"
"162" "A20A5_HUMAN" "ANKRD20A5P ANKRD20A5"
"163" "A26L1_HUMAN" "ANKRD36BP1 ANKRD26L1"
"164" "A2AP_HUMAN" "SERPINF2 AAP PLI"
"165" "A2GL_HUMAN" "LRG1 LRG"
"166" "A2MG_HUMAN" "A2M CPAMD5 FWP007"
"167" "A2ML1_HUMAN" "A2ML1 CPAMD9"
"168" "A30BL_HUMAN" "ANKRD30BL NCRNA00164"
"169" "A4GAT_HUMAN" "A4GALT A14GALT A4GALT1"
"170" "A4GCT_HUMAN" "A4GNT"
"171" "A4_HUMAN" "APP A4 AD1"
"172" "A7L3B_HUMAN" "ATXN7L3B"
"173" "AA1R_HUMAN" "ADORA1"
"174" "AA2AR_HUMAN" "ADORA2A ADORA2"
"175" "AA2BR_HUMAN" "ADORA2B"
"176" "AA3RB_HUMAN" "ADORA3 UNQ1931/PRO4406"
"177" "AA3R_HUMAN" "ADORA3 UNQ1931/PRO4406"
"178" "AAA1_HUMAN" "SLC7A10 ASC1"
"179" "AAAD_HUMAN" "AADAC DAC"
"180" "AAAS_HUMAN" "AAAS ADRACALA GL003"
"181" "AAAT_HUMAN" "SLC1A5 ASCT2 M7V1 RDR RDRC"
"182" "AACS_HUMAN" "AACS ACSF1"
"183" "AACT_HUMAN" "SERPINA3 AACT GIG24 GIG25"
"184" "AADAT_HUMAN" "AADAT KAT2"
"185" "AAED1_HUMAN" "AAED1 C9orf21"
"186" "AAGAB_HUMAN" "AAGAB"
"187" "AAK1_HUMAN" "AAK1 KIAA1048"
"188" "AAKB1_HUMAN" "PRKAB1 AMPK"
"189" "AAKB2_HUMAN" "PRKAB2"
"190" "AAKG1_HUMAN" "PRKAG1"
"191" "AAKG2_HUMAN" "PRKAG2"
"192" "AAKG3_HUMAN" "PRKAG3 AMPKG3"
"193" "AAMDC_HUMAN" "AAMDC C11orf67 PTD015"
"194" "AAMP_HUMAN" "AAMP"
"195" "AAPK1_HUMAN" "PRKAA1 AMPK1"
"196" "AAPK2_HUMAN" "PRKAA2 AMPK AMPK2"
"197" "AAR2_HUMAN" "AAR2 C20orf4 CGI-23 PRO0225"
"198" "AARD_HUMAN" "AARD C8orf85"
"199" "AAS1_HUMAN" "ADORA2A-AS1 C22orf45"
"200" "AASD1_HUMAN" "AARSD1"
"201" "AASS_HUMAN" "AASS"
"202" "AATC2_HUMAN" "GOT1L1"
"203" "AATC_HUMAN" "GOT1"
"204" "AATF_HUMAN" "AATF CHE1 DED HSPC277"
"205" "AATM_HUMAN" "GOT2"
"206" "AB12B_HUMAN" "ABHD12B C14orf29"
"207" "AB1IP_HUMAN" "APBB1IP PREL1 RARP1 RIAM"
"208" "ABC3A_HUMAN" "APOBEC3A"
"209" "ABC3B_HUMAN" "APOBEC3B"
"210" "ABC3C_HUMAN" "APOBEC3C APOBEC1L PBI"
"211" "ABC3D_HUMAN" "APOBEC3D"
"212" "ABC3F_HUMAN" "APOBEC3F"
"213" "ABC3G_HUMAN" "APOBEC3G MDS019"
"214" "ABC3H_HUMAN" "APOBEC3H"
"215" "ABCA1_HUMAN" "ABCA1 ABC1 CERP"
"216" "ABCA2_HUMAN" "ABCA2 ABC2 KIAA1062"
"217" "ABCA3_HUMAN" "ABCA3 ABC3"
"218" "ABCA4_HUMAN" "ABCA4 ABCR"
"219" "ABCA5_HUMAN" "ABCA5 KIAA1888"
"220" "ABCA6_HUMAN" "ABCA6"
"221" "ABCA7_HUMAN" "ABCA7"
"222" "ABCA8_HUMAN" "ABCA8 KIAA0822"
"223" "ABCA9_HUMAN" "ABCA9"
"224" "ABCAA_HUMAN" "ABCA10"
"225" "ABCAB_HUMAN" "ABCA11P ABCA11"
"226" "ABCAC_HUMAN" "ABCA12 ABC12"
"227" "ABCAD_HUMAN" "ABCA13"
"228" "ABCB5_HUMAN" "ABCB5"
"229" "ABCB6_HUMAN" "ABCB6 MTABC3 PRP UMAT"
"230" "ABCB7_HUMAN" "ABCB7 ABC7"
"231" "ABCB8_HUMAN" "ABCB8 MABC1"
"232" "ABCB9_HUMAN" "ABCB9 KIAA1520"
"233" "ABCBA_HUMAN" "ABCB10"
"234" "ABCBB_HUMAN" "ABCB11 BSEP"
"235" "ABCC8_HUMAN" "ABCC8 HRINS SUR SUR1"
"236" "ABCC9_HUMAN" "ABCC9 SUR2"
"237" "ABCCB_HUMAN" "ABCC11 MRP8"
"238" "ABCCD_HUMAN" "ABCC13 C21orf73 PRED6"
"239" "ABCD1_HUMAN" "ABCD1 ALD"
"240" "ABCD2_HUMAN" "ABCD2 ALD1 ALDL1 ALDR ALDRP"
"241" "ABCD3_HUMAN" "ABCD3 PMP70 PXMP1"
"242" "ABCD4_HUMAN" "ABCD4 PXMP1L"
"243" "ABCE1_HUMAN" "ABCE1 RLI RNASEL1 RNASELI RNS4I OK/SW-cl.40"
"244" "ABCF1_HUMAN" "ABCF1 ABC50"
"245" "ABCF2_HUMAN" "ABCF2 HUSSY-18"
"246" "ABCF3_HUMAN" "ABCF3"
"247" "ABCG1_HUMAN" "ABCG1 ABC8 WHT1"
"248" "ABCG2_HUMAN" "ABCG2 ABCP BCRP BCRP1 MXR"
